Kennzeichen,Beispiel
BF,"Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BF,Flüssigkeitsflusssensor
BF,"Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BF,Stoffflusssensor
BF,"Stoff bezeichnet ein aus Textilfasern gewebtes, gewirktes, gestricktes, in Bahnen gerolltes Erzeugnis, siehe Textilie eine in chemisch einheitlicher Form vorliegende Materie bestimmter Eigenschaften, siehe Chemischer. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BF,Feststoffflussschalter
BF,". Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BF,Wasserflusssensor
BF,"Wasser ist insbesondere die chemische Verbindung H2O, bestehend aus den Elementen Sauerstoff und Wasserstoff. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BG,Erkennungsobjekt für räumliche Dimension und Position
BG,Objekt zur Erkennung von physikalischen Dimensionen
BG,2D Scanner
BG,3D Scanner
BG,Ausrichtungssensor
BG,"Ausrichtung steht für: Ausrichtung , Anfahren einer Lagerstätte zur Gewinnung von Bodenschätzen Ausrichtung , englisch alignment, Untersuchungsgegenstand der relationalen Typologie Alignement , Fluchtung, das Abstecken. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BG,Ausrichtungsschwellendetektor
BG,"Ausrichtung steht für: Ausrichtung , Anfahren einer Lagerstätte zur Gewinnung von Bodenschätzen Ausrichtung , englisch alignment, Untersuchungsgegenstand der relationalen Typologie Alignement , Fluchtung, das Abstecken. Detektor steht für: Sensor, ein technisches Bauteil einen Gerätetyp für den Radioempfang, siehe Detektorempfänger in der Physik einen Strahlungsdetektor oder Teilchendetektor den Metalldetektor zum Auffinden. "
BG,Winkelschalter
BG,"Ein Winkel ist in der Geometrie ein Teil der Ebene, der von zwei in der Ebene liegenden Strahlen mit gemeinsamem Anfangspunkt begrenzt wird. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BG,Winkelmesswertgeber
BG,"Ein Winkel ist in der Geometrie ein Teil der Ebene, der von zwei in der Ebene liegenden Strahlen mit gemeinsamem Anfangspunkt begrenzt wird. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BG,Koordinatenscanner
BG,". Der Scanner bezeichnet: Geräte zur berührungslosen digitalen Datenerfassung: Barcodelesegerät, Gerät zum optischen Abtasten von Strichcodes Geräte wie Flachbett- oder Diascanner zur optischen Digitalisierung von Aufsicht-. "
BG,Distanzschalter
BG,"Distanz steht für: Abstand, gradlinige Entfernung Distanz, Abstand zwischen Augpunkt und Bildebene bei einer Zentralprojektion Distanz, Länge des kürzesten Weges zwischen zwei Knoten in der. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BG,Distanzmesswertgeber
BG,"Distanz steht für: Abstand, gradlinige Entfernung Distanz, Abstand zwischen Augpunkt und Bildebene bei einer Zentralprojektion Distanz, Länge des kürzesten Weges zwischen zwei Knoten in der. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BG,Endstopp
BG,Laserabstandserkennungsschalter
BG,"Laser bezeichnet sowohl den physikalischen Effekt als auch das Gerät, mit dem Laserstrahlen erzeugt werden. Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BG,Laserabstandssensor
BG,"Laser bezeichnet sowohl den physikalischen Effekt als auch das Gerät, mit dem Laserstrahlen erzeugt werden. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BG,Laserscanner
BG,"Laser bezeichnet sowohl den physikalischen Effekt als auch das Gerät, mit dem Laserstrahlen erzeugt werden. Der Scanner bezeichnet: Geräte zur berührungslosen digitalen Datenerfassung: Barcodelesegerät, Gerät zum optischen Abtasten von Strichcodes Geräte wie Flachbett- oder Diascanner zur optischen Digitalisierung von Aufsicht-. "
BG,Bewegungsdetektor
BG,"Bewegung steht für: Bewegung , Ortsveränderung mit der Zeit Bewegung , Positions- und Lageveränderungen von Gelenken Bewegung , affine Drehung oder Drehspiegelung im Raum Bewegung. Detektor steht für: Sensor, ein technisches Bauteil einen Gerätetyp für den Radioempfang, siehe Detektorempfänger in der Physik einen Strahlungsdetektor oder Teilchendetektor den Metalldetektor zum Auffinden. "
BG,Bewegungssensor PIR
BG,Objektscanner
BG,"Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. Der Scanner bezeichnet: Geräte zur berührungslosen digitalen Datenerfassung: Barcodelesegerät, Gerät zum optischen Abtasten von Strichcodes Geräte wie Flachbett- oder Diascanner zur optischen Digitalisierung von Aufsicht-. "
BG,Positionssensor
BG,"Position bezeichnet: den Ort eines Punktes auf der Erdoberfläche oder im Raum, siehe Standort die Koordinaten eines Punktes, siehe Koordinatensystem und Ortsbestimmung Soziale Position, den. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BG,Positionsschalter
BG,"Position bezeichnet: den Ort eines Punktes auf der Erdoberfläche oder im Raum, siehe Standort die Koordinaten eines Punktes, siehe Koordinatensystem und Ortsbestimmung Soziale Position, den. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BG,Positionsmesswertgeber
BG,"Position bezeichnet: den Ort eines Punktes auf der Erdoberfläche oder im Raum, siehe Standort die Koordinaten eines Punktes, siehe Koordinatensystem und Ortsbestimmung Soziale Position, den. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BG,Anwesenheitsanzeige
BG,. . 
BG,Anwesenheitserkennung
BG,". Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. "
BG,Radar
BG,"Radar ist die Abkürzung für radio detection and ranging oder radio direction and ranging , zwischenzeitlich radio aircraft detection and ranging und ist die Bezeichnung. "
BG,Drehgeber
BG,"Dreh steht umgangssprachlich für: Dreharbeiten im Film Einfall, Kunstgriff zum Problemlösen DrehungSiehe auch: Dre Drée. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BG,Sichtbarkeitssensor
BG,"Sichtbarkeit steht für: allgemein die Erkennbarkeit durch das Auge, siehe Visuelle Wahrnehmung Sichtbarkeit , die Zeitspanne zwischen Auf- und Untergang eines astronomischen Objektes Freisichtigkeit, die. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BG,Windrichtungsanzeige
BG,"Als Wind wird in der Meteorologie eine gerichtete, stärkere Luft­bewegung in der Erdatmosphäre bezeichnet. "
BG,Windrichtungssensor
BG,"Als Wind wird in der Meteorologie eine gerichtete, stärkere Luft­bewegung in der Erdatmosphäre bezeichnet. Die Richtung ist die Bewegung hin zu einem Ort, Objekt, Subjekt oder Ziel. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BH,Erkennungsobjekt für Energie
BH,Energieerkennungsobjekt
BH,"Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BH,Kondensatsensor
BH,"Kondensat steht für: das Ergebnis eines Übergangs eines Stoffes vom gasförmigen in den flüssigen Aggregatzustand, siehe Kondensation Kondenswasserin der Physik: das Ergebnis der Überführung von. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BH,Stromflussmesswertgeber
BH,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Ein Fluss ist ein natürliches, linienhaft fließendes Gewässer auf Landoberflächen. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BH,Kühlungsenergiemessgerät
BH,"Kühlung oder Abkühlung ist ein Vorgang, bei dem einem System oder Gegenstand Wärme bzw. Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Messgeräte dienen zur Bestimmung geometrischer oder physikalischer Größen. "
BH,Energiezähler
BH,"Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Zahlen sind abstrakte mathematische Objekte beziehungsweise Objekte des Denkens, die sich historisch aus Vorstellungen von Größe und Anzahl entwickelten. "
BH,Energiesensor
BH,"Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BH,Strömungsenergiezähler
BH,"Strömung steht für: eine Weltanschauung oder Arbeitsweise, oft inkl. Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Zahlen sind abstrakte mathematische Objekte beziehungsweise Objekte des Denkens, die sich historisch aus Vorstellungen von Größe und Anzahl entwickelten. "
BH,Gasenergiezähler
BH,"Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Energie ist eine fundamentale physikalische Größe, die in allen Teilgebieten der Physik sowie in der Technik, Chemie, Biologie und der Wirtschaft eine zentrale Rolle spielt. Zahlen sind abstrakte mathematische Objekte beziehungsweise Objekte des Denkens, die sich historisch aus Vorstellungen von Größe und Anzahl entwickelten. "
BH,Kwh Zähler
BH,Wärmeenergiezähler
BH,". Zahlen sind abstrakte mathematische Objekte beziehungsweise Objekte des Denkens, die sich historisch aus Vorstellungen von Größe und Anzahl entwickelten. "
BJ,Erkennungsobjekt für Leistung
BJ,Leistungserkennungsobjekt
BJ,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BJ,KWZ ähler
BJ,Leistungsbegrenzungsschalter
BJ,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. . Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BJ,Leistungszähler
BJ,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Zahlen sind abstrakte mathematische Objekte beziehungsweise Objekte des Denkens, die sich historisch aus Vorstellungen von Größe und Anzahl entwickelten. "
BK,Erkennungsobjekt für Zeit
BK,Zeiterkennungsobjekt
BK,". Als Kennung eines Leuchtfeuers bezeichnet man die Eigenschaften, die in der Nacht dessen Identifizierung ermöglichen. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BK,Uhr
BK,"Die Uhr ist ein Messgerät, das den aktuellen Zeitpunkt anzeigen kann oder eine Zeitspanne misst. "
BK,Zeitzähler
BK,Zeitinformationsgerät
BK,. 
BK,Zeitmessgerät
BK,Zeitschalter
BK,. 
BL,Erkennungsobjekt für Füllstand
BL,Füllstandserkennungsobjekt
BL,"Unter dem Begriff Füllstand versteht man die Höhe der Füllung in einem Behälter. Erkennung bezeichnet einen kognitiven Prozess der Abstraktion, bei dem eine Wahrnehmung einem Begriff, Konzept oder einer Identifizierung zugeordnet wird. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BL,Füllstandssensor
BL,"Unter dem Begriff Füllstand versteht man die Höhe der Füllung in einem Behälter. Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BL,Füllstandsschalter
BL,"Unter dem Begriff Füllstand versteht man die Höhe der Füllung in einem Behälter. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BL,Füllstandsmesswertgeber
BL,"Unter dem Begriff Füllstand versteht man die Höhe der Füllung in einem Behälter. Ein Messwert ist der Wert einer Messgröße, der von einem Messgerät oder einer Messeinrichtung geliefert wird. Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BL,Flüssigkeitsstandssensor
BL,"Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. . Ein Sensor , auch als Detektor, Aufnehmer oder Fühler bezeichnet, ist ein technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner. "
BL,Flüssigkeitsstandsschalter
BL,"Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. . Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
BM,Erkennungsobjekt für Feuchte
BM,Feuchteerkennungsobjekt
BM,"Als Kennung eines Leuchtfeuers bezeichnet man die Eigenschaften, die in der Nacht dessen Identifizierung ermöglichen. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
BM,Feuchtesensor
BM,. 
BM,Feuchteschalter
BM,"Halter steht für: Halter, Besitzer der Verfügungsgewalt über ein Kraftfahrzeug, siehe Fahrzeughalter Halter, eigenverantwortliche Sorge für ein Tier, siehe Tierhaltung Halter, Kuhhirt auf einer Alm,. "
BM,Feuchtemesswertgeber
BM,"Geber ist die Bezeichnung für eine Person, eine Organisation oder ein Gerät, die oder das etwas gibt: Funktion von Personen Kreditgeber Geber von Zuschüssen und. "
BP,Erkennungsobjekt für Druck
BP,Druckerkennungsobjekt
